,Country Name,2016,2017,2018,2019,2020
208,Singapore,84421932682.0,93769715403.0,93466562871.0,92670869374.0,77533376821.0
209,Solomon Islands,237500314.5,287509191.9,309173216.0,367472532.9,256897265.4
210,Sierra Leone,739430794.4,691563936.4,605756190.1,510878229.2,491692267.8
211,El Salvador,3862770000.0,4165770000.0,4780430000.0,4931290000.0,4654640000.0
212,San Marino,231551318.5,292264312.6,341144047.3,388280820.9,278200763.5
214,Serbia,7356467007.0,8648183120.0,11472633419.0,12923615862.0,12905738766.0
215,Sub-Saharan Africa (excluding high income),345526000000.0,376275000000.0,381390000000.0,415736000000.0,388626000000.0
217,Sub-Saharan Africa,345957000000.0,376747000000.0,381863000000.0,416183000000.0,388842000000.0
218,Small states,148166000000.0,150460000000.0,164500000000.0,163823000000.0,144230000000.0
221,Slovak Republic,20931672906.0,22055916753.0,24785436299.0,25089621293.0,21247608314.0
222,Slovenia,8249104682.0,9732474459.0,11544541268.0,11204184507.0,10754798631.0
223,Sweden,127446000000.0,139176000000.0,144465000000.0,134131000000.0,137293000000.0
224,Eswatini,489975607.8,564932142.5,618131403.8,609988285.2,488370661.1
226,Seychelles,430149184.3,470852445.1,471371782.2,446121404.1,219004569.6
229,Chad,2463029759.0,2129397629.0,2345336590.0,2422921741.0,2202560521.0
230,East Asia & Pacific (IDA & IBRD countries),5474320000000.0,6046750000000.0,6906040000000.0,7021030000000.0,7124740000000.0
231,Europe & Central Asia (IDA & IBRD countries),844111000000.0,970966000000.0,973683000000.0,969598000000.0,943811000000.0
232,Togo,1291521714.0,1171413333.0,1288013337.0,1483293026.0,1788569041.0
233,Thailand,87242948289.0,104662000000.0,127801000000.0,129523000000.0,118364000000.0
234,Tajikistan,2833480098.0,2255623004.0,2893511233.0,2937536725.0,2722851413.0
236,Latin America & the Caribbean (IDA & IBRD countries),973303000000.0,1057370000000.0,1051710000000.0,1010490000000.0,799395000000.0
237,Timor-Leste,653527991.5,564623438.4,558849922.8,544196992.8,373802178.7
239,Tonga,101890331.9,124461886.5,117169751.1,129997799.2,118921258.8
240,South Asia (IDA & IBRD),871449000000.0,1027450000000.0,1098710000000.0,1074990000000.0,954535000000.0
241,Sub-Saharan Africa (IDA & IBRD countries),345957000000.0,376747000000.0,381863000000.0,416183000000.0,388842000000.0
243,Tunisia,9082867784.0,8978631066.0,9802221467.0,8298834515.0,5415339212.0
244,Turkiye,243685000000.0,263662000000.0,228692000000.0,191752000000.0,227240000000.0
246,Tanzania,16014679840.0,18138171252.0,21876062035.0,24243740604.0,25599371253.0
247,Uganda,7422324120.0,7567457932.0,8010684008.0,9025445749.0,9105286567.0
248,Ukraine,20280807630.0,22378574705.0,24330471866.0,22913726127.0,13989576185.0
249,Upper middle income,6537770000000.0,7264210000000.0,8049140000000.0,8098870000000.0,8054770000000.0
250,Uruguay,9990512277.0,10167560144.0,9647077366.0,8963885515.0,9332144131.0
251,United States,3844980000000.0,4053900000000.0,4354220000000.0,4558260000000.0,4433430000000.0
252,Uzbekistan,22188580737.0,18088216015.0,19670037118.0,25204125368.0,24062625934.0
257,Vietnam,81562521302.0,90892128728.0,99294552928.0,106930000000.0,110625000000.0
258,Vanuatu,184862871.6,245193877.2,245150456.1,228862789.5,352565436.0
259,World,19506100000000.0,21147100000000.0,22903000000000.0,23255300000000.0,22439200000000.0
260,Samoa,299298648.2,284766715.2,291114845.3,307211761.0,288389433.2
261,Kosovo,2240219172.0,2491214415.0,2859468588.0,2730055979.0,2577925926.0
263,South Africa,54881566001.0,63361448182.0,65427163522.0,61595077951.0,41865019135.0
264,Zambia,8007419919.0,10608950523.0,10167082604.0,9151427463.0,5848490795.0
265,Zimbabwe,2026381300.0,1705760332.0,4832505373.0,3012706896.0,2827682410.0
