,Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
47,Moldova,,,,,,-7.42327153,-7.470582793,-1.521632104,-2.639090816,-3.546063797,-0.344750246,-1.178997491,0.469967723,0.592848783,1.440722637,-0.418723607,0.148232521,-0.870607993,-6.382820742,-2.178254279,-2.049645065,-1.930739998,-1.565176163,-1.585012059,-1.942798789,-1.546563908,-0.650370778,-0.853156452,-1.465507184,-5.316879851,-2.619252649,-6.190376428,-6.011833731,-4.9,-4.0,-3.6,-3.3
48,Morocco,-0.896334225,-1.844340143,-2.001068306,-2.511105358,-2.539231164,0.867535655,1.498732142,1.470158347,3.205613043,-1.973311886,-3.789967253,-4.368706481,-3.744923431,-3.313373146,-5.455139245,-1.800353725,-0.116219844,0.625905914,-1.629220017,-3.932268009,-6.075339797,-6.631760305,-4.701752703,-4.779650388,-4.514418738,-4.426138532,-3.232984738,-3.430638442,-3.550941334,-7.147453363,-5.941501533,-5.317248036,-5.100466541,-4.401253904,-3.608756306,-2.977122984,-2.696642081
49,Mozambique,-2.129700691,-1.961515954,-2.672602794,-4.232391781,-2.593603621,-2.166132513,-1.896374187,-1.133759959,-0.33013923,-1.32087958,-4.641006356,-3.52665375,-2.752631695,-3.295001073,-2.137278973,-3.143739042,-2.266422394,-1.952715015,-4.473814401,-3.497774602,-4.407618275,-3.520912838,-2.495872917,-9.894718762,-6.660678468,-5.119903257,-1.993068113,-5.58560048,0.112152425,-5.381764001,-3.650866347,-3.352997152,-4.3055921,-3.36104562,-2.184318919,0.029921218,1.472683409
52,Netherlands,-2.055636862,-3.126565697,-3.139122005,-3.539703624,-9.15681223,-1.867508161,-1.569018496,-1.337272854,0.260096934,1.208830837,-0.408607104,-1.996260504,-3.06097775,-1.752738595,-0.449641757,-0.013343689,-0.21335013,0.101205504,-5.167066234,-5.318474875,-4.457230545,-4.012613214,-2.997745521,-2.263237834,-2.091425027,0.011576411,1.316270765,1.429481374,1.721162775,-3.714361041,-2.555946359,-0.752179039,-1.272863006,-1.872430317,-2.465481846,-2.65690962,-2.681825377
56,Niger,,,,,,-0.360475054,-2.387364613,-2.231274026,-4.274022437,-2.828269088,-2.587942768,-2.213222471,-2.174764882,-2.7635914,-1.527615981,31.04509167,-0.746668268,1.11080167,-3.926786258,-0.985197804,-2.193744972,-0.830159875,-1.932357667,-6.124642974,-6.746851709,-4.463526077,-4.11524063,-2.999652786,-3.559543562,-5.338330464,-5.893050492,-6.589135117,-4.692706434,-2.985155486,-3.017857227,-3.004825021,-2.979500473
57,Mongolia,-6.365786559,-8.102580371,-13.34168368,-9.736635528,-4.967950528,-6.882958371,-8.093351526,-12.33694186,-9.907976469,-5.821111521,-4.327369882,-4.735704319,-3.382272171,-1.617960767,2.434672767,7.584876247,2.638636445,-4.521413161,-5.198800741,0.425427469,-4.013807892,-6.243683982,-0.927077628,-3.725394185,-5.042965886,-15.29496044,-3.716047369,2.85428534,1.002708543,-9.240402914,-3.139568792,-0.37490507,0.392338415,-0.998416595,-2.200216969,-2.727254332,-3.099731928
58,Malta,,,,,,,,,,,-6.49114747,-5.647092589,-9.08820889,-4.38153106,-2.608904816,-2.50971543,-2.134612904,-4.12986034,-3.17589946,-2.316674599,-2.378477422,-3.393324154,-2.334994263,-1.69807166,-1.042342931,1.113732588,3.288721619,2.073338282,0.585140465,-9.467752162,-7.912778391,-5.551446102,-4.631843721,-3.003227068,-2.667796745,-2.281803535,-2.125743109
59,Luxembourg,,,,,,2.368589522,2.654756662,2.983284088,3.242223281,5.550770034,5.623139125,2.031106313,0.276430576,-1.392367344,-0.211352956,1.904608632,4.354201978,3.367191874,-0.21305636,-0.25753077,0.650446491,0.503802159,0.840623695,1.331690844,1.303599397,1.889941129,1.366712052,2.986140333,2.299530653,-3.419898725,0.886603422,-1.119829028,-0.394200897,-0.339413102,-0.249729535,-0.322644887,-0.436988936
61,Kyrgyz Republic,,,,,,-9.095616879,-9.304490651,-11.96466933,-13.52278393,-10.69669466,-6.747459221,-5.900032633,-5.1693277,-4.891663885,-3.789101182,-2.095369146,1.276876611,1.924070328,0.377512204,-5.946895222,-4.70461583,-5.861999576,-3.699422342,-3.068269881,-2.516820407,-5.79019542,-3.732926298,-0.590098958,-0.07824198,-3.254843992,-0.397873533,-3.305501653,-5.885094747,-5.92332421,-6.162211617,-6.933867337,-7.23650934
64,Guinea,-3.248325356,-0.959518382,-2.332215361,-2.591085319,-1.07472267,-2.201280485,-0.065439504,2.17853823,-1.301846644,-2.454890694,-3.308429337,-3.528636513,-4.685691016,-3.88371614,-1.074191657,-2.179952135,1.263189428,0.374173012,-4.892582486,-9.661243263,-0.93571808,23.52666389,-3.873635342,-3.157909623,-6.550783854,-0.147390181,-2.061663957,-1.092202156,-0.26391282,-3.116525643,-1.725872782,-1.917941069,-2.786603005,-3.069949536,-2.973161134,-2.562106352,-2.091022547
65,Ecuador,,,,,,-3.292046488,-2.703631201,-4.87985012,-4.617337897,-0.306545905,0.030917104,0.699457232,0.9980083,1.867465896,0.641330682,2.851907229,2.597920152,0.56232864,-3.569994934,-1.357407946,-0.126728357,-2.972797834,-7.787649572,-7.878608878,-6.741800555,-9.622052479,-6.138273035,-4.728904837,-3.449506445,-7.124855259,-1.487018872,0.869646904,1.889976359,1.780458964,1.861389741,1.98076388,1.43426145
66,Dominican Republic,,,,,,,,-0.771255869,-1.298563483,-1.395000562,-1.628853133,-1.809342111,-6.186537755,-3.447419839,-0.403013247,-0.941832349,0.105153081,-3.249804156,-3.016830321,-2.728864335,-3.050161114,-6.560338978,-3.472395611,-2.75273262,-0.032990253,-3.103231263,-3.087516565,-2.160391022,-2.195143637,-7.905062914,-2.922666249,-3.473495251,-3.136076358,-2.971696255,-2.87134533,-2.853532196,-2.777019317
67,Croatia,,,-0.479670382,1.738008366,-1.126363004,-1.189251797,-1.696901206,-2.724138483,-6.96775418,-5.451103765,-5.699838329,-3.258259315,-4.482172089,-4.923655379,-3.63415064,-3.106229771,-2.215657175,-2.80446905,-6.001379993,-6.399707425,-7.874971858,-5.450054245,-5.487699245,-5.474048071,-3.411251762,-0.926186074,0.753098522,-0.029729619,0.234967057,-7.324094803,-2.888419261,-2.778328473,-2.110825483,-1.749746335,-1.235928673,-1.027244045,-0.849693006
68,Benin,-2.251836156,-1.983949184,-0.413379827,-1.56626089,-1.913124195,-0.108263045,0.468233153,1.832176761,1.944146944,-3.692199256,-3.269426664,-3.329892397,-1.072040365,-0.704772656,-1.523283516,-0.146542915,0.222004233,-0.040904611,-2.241002705,-0.275538513,-0.981309004,-0.215565666,-1.365033987,-1.650544396,-5.552835897,-4.288630665,-4.203744682,-2.976436202,-0.539578284,-4.681770031,-5.708796967,-5.501472122,-4.3,-2.9,-2.9,-2.9,-2.9
69,Belarus,,,,,,,,,,,,-7.807180093,-6.739276111,-7.063404255,-6.706171323,-7.705104203,-7.820929775,-10.90631239,-7.231963268,-4.186628048,-2.805920045,0.359824811,-0.981959041,0.092110405,-2.963639129,-1.659082683,-0.336524545,1.804798377,0.909551694,-2.870345608,-1.678942963,-4.321604238,-2.093288966,-0.795200917,0.136922892,0.219012043,0.255773877
75,Uruguay,,,,,,,,,,-2.769992409,-2.864394131,-3.200078612,-2.203016451,-0.871802018,-0.276914432,-0.645634756,-0.157417052,-1.310965409,-1.399646214,-0.388939376,-0.335215018,-2.182024508,-1.729314098,-2.610787972,-1.864821492,-2.671836145,-2.506700446,-1.870900833,-2.757823665,-4.668260089,-2.697842524,-2.864319035,-1.983930122,-2.27641232,-1.83084513,-1.963049994,-1.676685751
