,Country Name,ControlofCorruption,PoliticalStability,GovernmentEffectiveness,RegulatoryQuality,RuleofLaw,VoiceandAccountability,GDP per capita,GDP growth,debt index,Inflation rate,fiscal balance,trade index,unemployment,School enrollment,Life expectancy,Intentional homicides,gini index,得分,稳定系数
117,Vietnam,-0.033435642,-0.008835039,0.023816995,-0.023201773,-0.016154288,-0.135554006,0.012725828,0.038614523,0.088807674,0.098648357,-0.034475554,0.099948345,0.090251474,0.044091479,0.093848672,0.100058884,0.108432589,0.006892611,0.209827574
8,Benin,-0.003160422,-0.04724431,-0.026954087,-0.048559821,-0.072203087,-0.006917648,0.004392751,0.051863008,0.088807674,0.098648357,-0.055864047,0.088672958,0.086893149,0.017766477,0.074812001,0.099444528,0.093924003,0.006788743,0.202645024
70,Moldova,-0.052249109,-0.038723839,-0.053180384,0.000255873,-0.046384352,-0.004282452,0.015970058,-0.099455931,0.11061846,0.098648357,-0.063442336,0.059413275,0.085228097,0.09288411,0.08735952,0.096713127,0.086287905,0.006714115,0.197484422
118,Kosovo,-0.041849687,-0.028974295,-0.030840323,-0.031529788,-0.037705276,-0.015575996,0.015296522,-0.071965981,0.088807674,0.087849392,-0.094048592,0.086573821,0.002427027,0.087024209,0.095329025,0.094143021,0.083233466,0.00669317,0.196036062
43,"Gambia, The",-0.038218309,0.028472199,-0.078057433,-0.077138266,-0.037285109,-0.019653024,0.002498186,0.00797093,0.088807674,0.095058907,-0.025964566,0.079482167,0.100382895,0.009776259,0.077954483,0.088765517,0.108432589,0.006659661,0.193718897
100,El Salvador,-0.052874208,-0.01352686,-0.024187779,-0.007271306,-0.074461038,0.0071347,0.013850846,-0.110196843,0.091247994,0.085653123,-0.098028688,0.071602968,0.10097554,0.048743323,0.088473832,0.009777258,0.098887467,0.006658074,0.193609156
72,Maldives,-0.031142271,0.042998397,-0.000710611,-0.051006334,-0.028561201,-0.031673044,0.025840789,-0.451351622,0.103734685,0.081805788,-0.280470193,0.080175896,0.10097554,0.051738448,0.09944762,0.099873099,0.108432589,0.006651252,0.193137372
69,Morocco,-0.039958063,-0.039218272,-0.009178627,-0.003630768,-0.018997473,-0.058923837,0.011561148,-0.096853665,0.098163251,0.089806395,-0.085285195,0.082712694,0.0650217,0.065081416,0.092033403,0.099127574,0.108432589,0.006618253,0.190855475
91,Philippines,-0.046456993,-0.083620518,0.010293209,0.01324766,-0.062043277,-0.01027989,0.011441571,-0.128269309,0.104560651,0.096309403,-0.068363155,0.059804324,0.092622057,0.053455198,0.089791085,0.089100136,0.069106685,0.006569884,0.187510722
81,Malawi,-0.035288246,-0.012396098,-0.082480132,-0.079814094,-0.026688247,0.001019529,0.002230883,0.010780842,0.092985517,0.084674413,-0.097638132,0.070928163,0.083534823,0.009776259,0.079330253,0.093108289,0.108432589,0.006508711,0.183280606
31,Ecuador,-0.045844932,-0.029908551,-0.046144074,-0.088560986,-0.051937114,-0.001183616,0.020031478,-0.104946422,0.088807674,0.085779228,-0.085015549,0.083537779,0.10097554,0.08425194,0.089833416,0.084305092,0.052689075,0.006475895,0.181011347
73,Mexico,-0.085751666,-0.095085098,-0.025104994,0.000264935,-0.064217409,-0.002461569,0.030711485,-0.107645752,0.088807674,0.098648357,-0.052657773,0.066058766,0.10097554,0.071788701,0.087318434,0.037598258,0.067197661,0.006451055,0.179293647
