,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,average
46,Ghana,0.202067058,0.265883884,0.269831762,0.231053021,0.232626772,0.271743877,0.233712464,0.224106052,0.246314961,0.29309816,0.269767191,0.298432831,0.25365203,0.27073849,0.264787806,0.262949208,0.256527054,0.270967437,0.284796477,0.258055607
43,Greece,0.77264279,0.817402615,0.859376887,0.932310677,0.931603295,0.865821723,0.893654933,0.895680814,0.967085665,0.924549403,0.875562821,0.831681849,0.901418438,0.847347395,0.848325634,0.905700984,0.912228359,0.912069943,0.915991881,0.884760848
96,Guatemala,0.177050348,0.198896316,0.22439409,0.201490611,0.16924552,0.194696337,0.181350122,0.221358073,0.238796912,0.245076023,0.238623106,0.25094719,0.222321431,0.245532739,0.241165465,0.217648443,0.222534493,0.227068539,0.27077355,0.220472069
109,Guinea,0.185114675,0.253408772,0.215400877,0.227619793,0.227449089,0.271513362,0.231700299,0.228732596,0.236373326,0.279205927,0.272058165,0.285179783,0.232051804,0.230283768,0.263461858,0.24948296,0.230301318,0.240764065,0.264332614,0.243391318
120,Guinea-Bissau,0.193942002,0.254823457,0.258709506,0.223397398,0.246686004,0.260224424,0.220468395,0.216009892,0.211650965,0.271547923,0.261256237,0.278163546,0.220859825,0.238745388,0.2544145,0.245400747,0.22967494,0.246489228,0.269162318,0.242190879
100,Honduras,0.184024468,0.200335077,0.216668151,0.205614035,0.204405832,0.191104533,0.192770465,0.221624876,0.245943958,0.241033198,0.227320071,0.247272185,0.219535621,0.247085497,0.242466459,0.226028771,0.23412846,0.229316211,0.211197936,0.220414516
32,Hungary,0.547131253,0.63266348,0.694514426,0.723527366,0.711598142,0.689475536,0.653553677,0.632431612,0.633880367,0.605209405,0.577687514,0.539311933,0.465031172,0.46211766,0.427973092,0.413543075,0.407459809,0.415342781,0.424672928,0.560901328
6,Iceland,0.655466839,0.73129063,0.774218414,0.772740559,0.758106399,0.718380796,0.720695624,0.723195392,0.768597815,0.754654707,0.730976288,0.697297129,0.679811704,0.655086241,0.580810779,0.543754522,0.537200105,0.551605396,0.577540778,0.680601585
66,India,0.231116398,0.288316807,0.288253487,0.259155027,0.276031146,0.294441506,0.262354402,0.261600757,0.281557364,0.340068626,0.337946499,0.344004982,0.298421976,0.323629187,0.320359514,0.309462857,0.298677379,0.308034553,0.311668987,0.296584287
93,Indonesia,0.264328048,0.322553506,0.323341722,0.299280059,0.307565564,0.31890374,0.296137857,0.303703505,0.328246334,0.356511849,0.37028381,0.375863576,0.330003497,0.359366053,0.360958883,0.350570643,0.337263996,0.360712759,0.348396912,0.332315385
94,"Iran, Islamic Rep.",0.287752552,0.342446069,0.352410604,0.331510477,0.338066308,0.378485732,0.40682526,0.403165831,0.461996537,0.508450852,0.536698094,0.554095866,0.57268881,0.635180946,0.552644554,0.523860279,0.469491388,0.44932372,0.440699757,0.449778612
13,Ireland,0.645414269,0.670053295,0.683613938,0.662128668,0.630148821,0.608111346,0.546705885,0.563144089,0.62583183,0.644045197,0.623403939,0.640365553,0.62094569,0.669409936,0.614117976,0.593149705,0.568354956,0.540704304,0.529080486,0.614669994
25,Israel,0.687767417,0.683416451,0.660513446,0.657547519,0.624997096,0.629924103,0.600675065,0.619847821,0.654006898,0.638459726,0.630662449,0.613853964,0.572090008,0.581526616,0.531090517,0.501149761,0.472272814,0.456968883,0.464609551,0.593756848
35,Italy,0.667677966,0.69887356,0.716835233,0.718118458,0.701294906,0.680431993,0.654311432,0.653050588,0.654694081,0.63387713,0.598426827,0.573522267,0.530431512,0.54357292,0.497787473,0.48882235,0.485689645,0.485762381,0.506516411,0.604720902
56,Jamaica,0.253439134,0.278203126,0.29564091,0.255425374,0.258279887,0.266936483,0.255568071,0.260138047,0.314142427,0.312912959,0.345426779,0.302738387,0.267334888,0.28781736,0.3078483,0.275908978,0.282493234,0.305733159,0.282901023,0.284678343
38,Jordan,0.390586311,0.449089159,0.476356313,0.451026227,0.442539664,0.446658137,0.437927616,0.438040787,0.41121514,0.411193854,0.435376302,0.398333611,0.359515674,0.371615854,0.337329119,0.307204225,0.306618008,0.303058415,0.308842959,0.39381723
101,Kazakhstan,0.400311599,0.406511037,0.377620548,0.438468622,0.625637099,0.448805799,0.439487109,0.448161437,0.484808643,0.495520968,0.501357088,0.483976928,0.438145753,0.436207961,0.409932168,0.412092153,0.421641758,0.461351747,0.50525447,0.454489099
106,Kenya,0.158481368,0.201807574,0.207619926,0.210625517,0.208352081,0.215781147,0.207668565,0.1984307,0.230043516,0.25213526,0.280769639,0.288258563,0.230824526,0.245797839,0.263719434,0.256313973,0.238939145,0.255056022,0.275640882,0.232961351
30,"Korea, Rep.",0.968826424,0.971692033,0.978153508,0.996456178,0.996598965,0.996506092,0.995540507,0.996974341,0.989356006,0.926727835,0.864354626,0.832217944,0.783512362,0.804652073,0.728157896,0.703680791,0.68663343,0.679131834,0.691918152,0.873215316
72,Kosovo,0.400265124,0.435093378,0.428000579,0.408211958,0.425622189,0.432323549,0.405615677,0.41629026,0.408012799,0.407554527,0.395770374,0.382520444,0.387186372,0.384721516,0.36250511,0.377808502,0.363311374,0.37215215,0.376794043,0.398408417
114,Kyrgyz Republic,0.535161124,0.515853072,0.50762122,0.501390326,0.496227252,0.47991765,0.481059675,0.458250358,0.450793341,0.439833415,0.442962474,0.471351742,0.417650913,0.44353022,0.400647235,0.370938883,0.352441422,0.365140394,0.389684126,0.448444992
111,Lao PDR,0.199348564,0.26050955,0.26468501,0.239185021,0.263147497,0.282572053,0.245579037,0.259538154,0.273624536,0.310527624,0.30288752,0.320489135,0.256680822,0.267714265,0.284604716,0.263655669,0.244504975,0.253616338,0.269348581,0.266432583
33,Latvia,0.803599234,0.827711596,0.841929562,0.829568624,0.781406517,0.73606163,0.707653044,0.709020229,0.671324148,0.643710643,0.611679937,0.623701683,0.599052748,0.646587901,0.632574105,0.659972257,0.667359499,0.657118175,0.649133973,0.699956079
44,Lesotho,0.125761557,0.107509988,0.100634532,0.109290131,0.143137948,0.095635186,0.120737156,0.13343904,0.146833838,0.159295844,0.172408564,0.16135851,0.178300904,0.161972915,0.141739273,0.16829441,0.149660423,0.157379214,0.155576537,0.141524525
31,Lithuania,0.75031872,0.811397856,0.843670798,0.871942991,0.855593251,0.819212216,0.826638538,0.85721232,0.826359671,0.776103967,0.716427103,0.656876806,0.594828833,0.612170702,0.570953805,0.557516418,0.545360789,0.521148951,0.513169736,0.711942288
7,Luxembourg,0.24360003,0.300946382,0.273110639,0.246833191,0.273737441,0.291743237,0.246318114,0.248321205,0.294518523,0.309861486,0.318384919,0.321775526,0.270129724,0.289964925,0.294684181,0.28148173,0.266382329,0.278171494,0.282019145,0.280630749
76,Madagascar,0.19069931,0.225219336,0.248970284,0.224355386,0.232724271,0.248398792,0.205549457,0.205076048,0.226621444,0.249563044,0.233599888,0.274581392,0.209249626,0.231120889,0.25490245,0.242521706,0.227466102,0.240658263,0.26391528,0.233431209
87,Malawi,0.182517313,0.228869276,0.254313056,0.202209023,0.213631697,0.226210954,0.212917169,0.198510969,0.206991965,0.24545633,0.245889718,0.25397703,0.21142315,0.225504783,0.232742658,0.239920261,0.217250232,0.237298949,0.254674207,0.225805723
39,Malaysia,0.358206574,0.404232774,0.386749144,0.361274093,0.354115867,0.358014606,0.371250757,0.380038191,0.410150921,0.396032647,0.414024636,0.416550152,0.371299054,0.434946838,0.419129564,0.386299619,0.379215383,0.368142581,0.371263437,0.386365097
74,Maldives,0.195023117,0.254667242,0.237881915,0.245391222,0.22656531,0.283572569,0.248690367,0.215672237,0.226816073,0.27141179,0.287707632,0.304070032,0.244516706,0.255179547,0.290160491,0.323068209,0.300637977,0.329687318,0.337295456,0.267263958
91,Mali,0.192489362,0.251388194,0.257370054,0.218087796,0.243617148,0.255489385,0.218772671,0.216352354,0.230728717,0.271720842,0.272065429,0.281667512,0.219547842,0.239128624,0.241411896,0.241011829,0.219374277,0.241858562,0.2622217,0.240752852
27,Malta,0.34679454,0.419233558,0.393322702,0.413208203,0.386129858,0.410936942,0.371779948,0.391553646,0.418864539,0.439846609,0.444019412,0.44955801,0.411975894,0.448280739,0.428676173,0.443619647,0.455916792,0.481699439,0.503810583,0.424169854
89,Mauritania,0.195379129,0.247597318,0.258130724,0.227112592,0.24533379,0.258314489,0.214981977,0.211669906,0.232870735,0.269951979,0.262049937,0.26987638,0.213855543,0.231569164,0.255754134,0.236001845,0.226893463,0.233793066,0.248445794,0.238925367
78,Mexico,0.298867021,0.313801092,0.32061354,0.322897207,0.302253755,0.31942666,0.299585311,0.295692629,0.327383797,0.321381274,0.314572922,0.327475293,0.308430057,0.329018716,0.34360389,0.334310869,0.323641138,0.321171963,0.343283976,0.319337427
97,Moldova,0.327675649,0.33987239,0.394913581,0.376538896,0.382825711,0.402252703,0.394175069,0.401923876,0.463050103,0.471681659,0.468205062,0.475340167,0.459318447,0.474302802,0.438186236,0.431252455,0.423398157,0.418066395,0.430470467,0.419655254
71,Mongolia,0.452249456,0.489471678,0.506445106,0.518959445,0.529148486,0.509897808,0.495452102,0.5179572,0.537115435,0.54400893,0.543958244,0.547342161,0.529208523,0.577335905,0.50308461,0.483023657,0.460829328,0.474167586,0.481186239,0.510570626
52,Montenegro,0.272492563,0.321588933,0.329518036,0.305249827,0.356151275,0.399094103,0.430876777,0.497415505,0.521702244,0.473306127,0.431370968,0.435400641,0.505602063,0.474685119,0.456348986,0.458680302,0.429237848,0.407497861,0.411673936,0.416731216
