"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Botswana","BWA","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","583276.901815758","5302255.39328321","4685805.61550357","13352306.4516101","10141929.733564","2098265.83500652","12894479.8667207","13572005.3078472","4249940.09077018","1653607.15235378","3528069.44656908","1453129.63535548","2118666.43197425","26328.2612012856","2321609.21155706","112533262.770375","96465794.0073847","28453166.3462956","60287760.8773744","32983728.2816988","13716296.577053","25573370.9123595","43284286.5595015","13385672.1535446","19438692.6524022","4837886.04025588","33612100.7449883","74132557.9098173","22967081.4443958","14273419.6507553","78396092.7468624","175997958.004904","137704066.864824","444024973.902012","499798884.987139","204652850.204738","94283702.5628491","108727922.364361","107426989.972123","116358017.400939","48160580.335656","21315696.9243753","4772845.05956155","6893242.84504168","7130408.20393419","8132278.5480301","7184690.09442085","9487965.07714946","",
"Central African Republic","CAF","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","40198.7322729754","150726.902916472","65149.0090127913","45096.3322729826","118246.59881793","264225.34253674","197141.169057089","188750.428328002","359959.535690169","529865.529112998","148603.312402882","126906.256779072","198794.050778844","63202.7702657801","66045.2999333062","473061.799860218","102218.002985801","244630.645229396","154063.572782649","69998.1250452313","37530.903098714","18073.459130211","27988.4198282346","50498.9140737064","18456.2664764744","6091.94902894793","21025.6678799082","39015.3857371504","44080.157120355","238024.455673146","411623.040535953","545537.494023545","831634.154463086","812583.45552832","597388.088902397","487943.107082394","368025.171535918","473101.425459798","754076.142998352","987166.948821929","1235583.64681123","1708687.82509432","",
"Canada","CAN","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","842534526.860556","684127833.408087","721058651.797182","1716162759.12356","2186138563.04076","1022022516.98967","1098911074.55686","911826665.253699","593681927.343952","1197281943.295","1879224701.36795","1144027471.32688","839829954.842373","986831589.889936","1086235739.98954","934952368.615507","691141819.093397","1189571399.76089","4021724229.92655","3332856533.01534","2494809535.2456","2080201740.32511","1579967679.41619","931596535.06649","1276593857.37999","1790930159.50451","1435236457.36326","1081803344.23249","508629850.712048","602150962.840598","899567023.817988","699102104.314496","816300553.673972","1035594311.44243","2174515234.07586","2300509223.19742","5927342801.84424","8197423172.26275","5534963914.76476","2112397820.36207","4522119039.22543","6723381412.16299","4527355854.7651","3288144123.82514","3286027968.94054","1851564271.9197","1804511638.92279","1818970505.82279","1656295533.67257","2076663704.58195","2479739489.94529","",
"Central Europe and the Baltics","CEB","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","333275.218620253","890957.43904561","673966.313059696","615459.754064184","469252.287224036","0","0","0","0","0","0","",
"Channel Islands","CHI","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Chile","CHL","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","480461854.761483","355735113.869247","339545104.715922","639858283.233937","895874141.54598","416045920.376765","598983442.662491","548743229.042923","526813409.79184","893419608.98886","1050349822.91081","740699257.4828","666299468.738996","774771963.007011","634995953.556839","694068020.070925","614571848.228932","911840199.948585","1583038453.70681","1980118413.80961","1757219469.86482","965711449.320482","896024994.126348","589170094.160972","1154269277.82068","2234267123.00576","1995737936.50939","2150190148.14372","991155841.597979","1510906355.58208","2336484003.45419","1274940849.77518","1093967489.84843","1978351534.55636","5652574571.23315","6856901390.2992","15865585243.027","17245497281.303","13703621507.2318","8427071466.60488","13072128319.9198","14889680655.5054","11806216448.0426","10060131767.444","8401486300.88459","4209928666.79474","3452226203.99853","6786415111.67606","8792153717.18282","6278996314.92188","1694529928.75762","",
"China","CHN","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","99704236.3416531","75765039.3768507","72334977.6173023","164546236.768052","274511461.690869","153504224.304172","253087409.998585","298215305.5921","204413098.553592","360985756.351048","432642737.177457","642779730.039241","520801752.535579","583815442.98814","466807653.955697","442632843.140296","361680325.515475","569931902.342962","2090028163.11248","965734217.31542","892541346.873889","1328565621.26411","1349685351.66406","986186199.695293","1480062578.84191","1522756077.0605","751171462.711625","821851865.4826","1295968099.6027","1144460403.21467","698144184.080861","569315083.462558","897802853.296835","1202207360.21821","3094069141.75819","8693921970.76447","20929943004.6815","49350787995.0298","67719438524.1781","31535291386.3575","85936608809.8186","130194187918.969","41396805913.3269","34965037969.298","25106825047.2161","16961960400.3328","15721875202.3208","17326500459.1158","20496001652.7771","10336644486.2006","34737340194.8943","",
"Cote d'Ivoire","CIV","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10072.2940146214","7968.78992960602","11992.3392824986","0","416261.50993203","349113.041841056","3937860.27261206","10660542.1117787","0","4063527.60909624","0","0","0","0","0","1845626.64764744","0","0","1641823.88392389","0","25443582.907034","57124768.4057031","24002108.0558091","183104746.581144","147702925.65854","121061010.888686","131699578.160793","127094781.275309","206041880.196334","158641914.26306","203959797.072591","262803272.35799","338877106.614087","",
"Cameroon","CMR","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","102.312137444132","0","0","0","2955.78913771878","4862.15815859587","3030.18646571122","4099.66657027114","12127.8562890185","8956.79127243188","5749.9507641651","8118.29799260223","12855.6977032203","11096.6602955602","3624.47103421663","3384.16684744193","6626.46835929478","0","0","0","843035.076171552","2718118.28032662","1711817.47536277","1399962.50090463","915387.880456438","1506121.59418425","1399420.99141173","2524945.70368532","922813.323823718","1305417.64906027","2102566.78799082","5852307.86057256","6612023.56805325","8303178.68627254","12146253.6551593","14547666.5072945","25105936.7385083","22161366.9689542","15930349.0373973","12198577.6770599","11040755.1460776","14193042.7637939","11502856.4186189","0","0","0","",
