,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
63,Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,104.4081699,99.50810549,98.20043044,97.94897992,96.1589382,94.27428732,97.1741043,94.53558896,98.44874703,97.74132059,96.53669807,94.32450256,94.78808227,94.11321567,94.12890382,95.78007099,94.74181253,94.98340525,95.04750617,98.40867905,
65,Ethiopia,ETH,,,,,,,,,,,,,,,,,,,,,,120.8333333,120.8333333,120.8333333,120.8333333,120.8333333,120.8333333,120.8333333,120.8333333,120.8333333,120.8333333,118.75,125,106.25,113.4020619,150.9615385,114.8148148,126.9230769,150,125,100,91.37346395,93.37208946,97.72576899,102.0899358,108.2917454,109.2770166,116.0795014,116.1150672,123.9435908,134.2548351,143.1219909,137.272837,131.0612222,141.2917469,137.9985735,145.9307234,140.7297714,128.6298917,127.8915749,132.5351829,
68,Finland,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.09697968,100.7047549,97.66834511,93.34065646,93.24873257,91.6559459,93.92472538,89.93026278,92.06316271,90.89191204,88.13399445,86.85596534,88.01570225,88.90567389,92.70763578,92.38735225,90.87155089,89.76070971,88.97744833,89.63690897,
67,Fiji,FJI,,,,,,,,,,,,,,,,,,,,,135.1555812,105.4462902,102.2283277,117.2866118,109.6894698,100,145.3976241,162.256813,141.5936289,,,,,,,,,,,,100,101.6380958,99.30081571,96.36565763,91.89229787,92.68469071,101.4122696,95.28357187,92.42987557,107.074679,108.4940965,112.9491806,112.9058176,108.3711687,107.8557935,109.1835629,112.0823547,110.0549342,108.2805695,109.542162,110.3812295,
69,France,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100.5432354,100.5594719,99.62811867,98.91352042,96.18143792,95.5885741,95.7134583,93.60365175,96.14023162,92.99603896,89.9334023,89.2030418,88.77700851,88.83717997,91.16919633,90.9169655,89.18191602,88.10145537,88.44265196,89.58541942,
206,United Kingdom,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,101.2250577,102.5681114,104.9707065,104.3105771,104.9338523,100.6703025,99.74316209,99.46910893,97.39959264,101.3340855,102.3141814,95.06512127,119.5448839,108.5270719,109.4397391,99.66765764,102.1261602,107.2823774,97.72218782,91.14901146,
73,Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,97.29413595,101.9925971,102.6624232,109.904214,106.2163826,115.492849,118.9009382,131.2482865,137.2572936,142.0137783,140.7469303,137.0379555,135.1432537,135.4843022,137.3206879,142.4911501,148.3672794,145.9958989,147.5195254,149.9885209,
75,Ghana,GHA,,,,,,,,,,,,,,,,,,,,,209.5238095,185.7142857,125,170.3703704,132,123.3333333,135.4166667,131.9148936,125.8426966,105.7471264,100,102.020202,95.09803922,89.21568627,94.23076923,106.6666667,108.5714286,114,124.2105263,109.5744681,100,107.3702302,134.5750585,129.1369081,120.4767436,118.6029368,122.0921327,131.7800743,149.2249115,164.5359684,182.906683,185.3346326,181.2249793,172.9553978,175.4945347,170.8422715,175.8518012,175.5785136,188.7972035,192.3031157,189.7145631,
82,Guinea,GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,136.8421053,122.3076923,108.8888889,120.5882353,121.6216216,116.8067227,93.19727891,86.07594937,100,89.61038961,78.18181818,87.24832215,80,76.92307692,100,96.98412118,97.16543053,96.71441013,105.1090672,107.9471688,132.2867458,130.4623291,119.6324653,100.2107333,117.0828404,116.0975676,108.5366699,101.2206736,98.64293661,97.7556723,103.7942676,108.7888561,107.0827771,105.7760498,113.7303159,
72,"Gambia, The",GMB,,,,,,,,,,,,,,,,,,,,,182.3529412,136.5384615,128.8888889,103.7037037,82.45614035,85.33333333,98.55072464,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.62910949,114.8653325,107.4765777,106.890236,101.8543976,104.5446717,108.6049842,114.9931235,109.1984805,110.1715286,102.9149346,104.4526049,108.8822621,112.5557993,108.0245609,104.709022,109.9762727,113.7358165,110.2598114,109.0097679,
